,DeathOld,DeathYoung,TotalDeathOld,TotalDeathYoung,TotalDeath,TotalDeathRatioOld,CasesYoung,CasesOld,TotalCasesYoung,TotalCasesOld,TotalCasesRatioOld,DeathCasesRatio14
2020-09-01,0,0,34,4,38,0.894736842,6,47,3597,445,0.110094013,
2020-09-02,0,0,34,4,38,0.894736842,13,108,3603,492,0.12014652,
2020-09-03,0,0,34,4,38,0.894736842,126,11,3616,600,0.142314991,
2020-09-04,0,0,34,4,38,0.894736842,212,14,3742,611,0.140362968,
2020-09-05,1,1,35,5,40,0.875,79,9,3954,625,0.136492684,
2020-09-06,0,0,35,5,40,0.875,19,3,4033,634,0.135847439,
2020-09-07,0,1,35,6,41,0.853658537,83,8,4052,637,0.135849861,
2020-09-08,0,1,35,7,42,0.833333333,149,12,4135,645,0.134937238,
2020-09-09,1,0,36,7,43,0.837209302,156,22,4284,657,0.132969035,
2020-09-10,0,0,36,7,43,0.837209302,175,11,4440,679,0.132643094,
2020-09-11,0,0,36,7,43,0.837209302,174,27,4615,690,0.130065975,
2020-09-12,0,1,36,8,44,0.818181818,73,6,4789,717,0.130221576,
2020-09-13,0,0,36,8,44,0.818181818,44,4,4862,723,0.129453894,
2020-09-14,0,0,36,8,44,0.818181818,158,30,4906,727,0.129060891,0.134559349
2020-09-15,2,0,38,8,46,0.826086957,84,8,5064,757,0.130046384,0.145440524
2020-09-16,0,0,36,8,44,0.818181818,151,10,5148,765,0.129375951,0.173940544
2020-09-17,3,0,41,8,49,0.836734694,219,16,5299,775,0.127593019,0.167750864
2020-09-18,2,0,43,8,51,0.843137255,260,30,5518,791,0.125376446,0.161886672
2020-09-19,1,0,44,8,52,0.846153846,124,7,5778,821,0.12441279,0.160546974
2020-09-20,0,0,44,8,52,0.846153846,73,6,5902,828,0.123031204,0.160549836
2020-09-21,3,0,47,8,55,0.854545455,142,33,5975,834,0.122484946,0.157905279
2020-09-22,1,0,48,8,56,0.857142857,300,38,6117,867,0.124140893,0.15513054
2020-09-23,2,0,50,8,58,0.862068966,294,66,6417,905,0.123600109,0.153865989
2020-09-24,0,0,50,8,58,0.862068966,367,52,6711,971,0.126399375,0.150876532
2020-09-25,0,0,50,8,58,0.862068966,481,71,7078,1023,0.126280706,0.151057029
2020-09-26,0,0,50,8,58,0.862068966,445,33,7559,1094,0.12643014,0.150166517
2020-09-27,1,0,51,8,59,0.86440678,233,32,8004,1127,0.123425693,0.149305737
2020-09-28,2,2,53,10,63,0.841269841,192,39,8237,1159,0.123350362,0.154583437
2020-09-29,0,2,53,12,65,0.815384615,474,93,8429,1198,0.124441674,0.15866862
2020-09-30,0,1,53,13,66,0.803030303,710,87,8903,1291,0.126643123,0.15888942
2020-10-01,3,0,56,13,69,0.811594203,608,71,9613,1378,0.125375307,0.154481693
2020-10-02,7,4,63,17,80,0.7875,599,105,10221,1449,0.124164524,0.157984495
2020-10-03,4,0,67,17,84,0.797619048,734,84,10820,1554,0.125585906,0.154248076
2020-10-04,3,0,70,17,87,0.804597701,310,43,11554,1638,0.124166161,0.152231291
2020-10-05,2,2,72,19,91,0.791208791,284,36,11864,1681,0.124104836,0.156900296
2020-10-06,3,0,75,19,94,0.79787234,786,91,12148,1717,0.123837,0.154912137
2020-10-07,5,0,80,19,99,0.808080808,943,94,12934,1808,0.122642789,0.156419227
2020-10-08,2,1,82,20,102,0.803921569,1056,128,13877,1902,0.120539958,0.157080878
2020-10-09,5,3,87,23,110,0.790909091,1604,283,14933,2030,0.119672228,0.1598542
2020-10-10,5,0,92,23,115,0.8,908,146,16537,2313,0.12270557,0.154282116
2020-10-11,2,1,94,24,118,0.796610169,449,55,17445,2459,0.123543006,0.154844071
2020-10-12,6,0,100,24,124,0.806451613,464,67,17894,2514,0.123186985,0.154307676
2020-10-13,5,2,105,26,131,0.801526718,1242,168,18358,2581,0.123262811,0.158002373
2020-10-14,5,3,110,29,139,0.791366906,1639,290,19600,2749,0.123003266,0.158428797
2020-10-15,7,0,117,29,146,0.801369863,1855,220,21239,3039,0.125175056,0.154940347
2020-10-16,10,1,127,30,157,0.808917197,1771,197,23094,3259,0.123667135,0.155251868
2020-10-17,10,0,137,30,167,0.820359281,1392,175,24865,3456,0.122029589,0.151355832
2020-10-18,5,3,142,33,175,0.811428571,759,101,26257,3631,0.121486884,0.1529461
2020-10-19,8,4,150,37,187,0.802139037,609,96,27016,3732,0.121373748,0.15438346
2020-10-20,8,4,158,41,199,0.793969849,1890,312,27625,3828,0.121705402,0.154467817
2020-10-21,12,2,170,43,213,0.798122066,1513,215,29515,4140,0.123012925,0.151029477
2020-10-22,14,2,184,45,229,0.80349345,2328,253,31028,4355,0.123081706,0.148939892
2020-10-23,19,3,203,48,251,0.80876494,2594,296,33356,4608,0.121378148,0.151719695
2020-10-24,8,2,211,50,261,0.808429119,2637,405,35950,4904,0.120037206,0.1528186
2020-10-25,8,4,219,54,273,0.802197802,1110,202,38587,5309,0.120944961,0.153561859
2020-10-26,12,3,231,57,288,0.802083333,771,130,39697,5511,0.121903203,0.15367831
2020-10-27,12,4,243,61,304,0.799342105,2492,395,40468,5641,0.122340541,0.15388063
2020-10-28,26,4,269,65,334,0.805389222,2341,444,42960,6036,0.12319373,0.155421816
2020-10-29,14,2,283,67,350,0.808571429,2805,558,45301,6480,0.125142427,0.15294522
2020-10-30,16,2,299,69,368,0.8125,2280,293,48106,7038,0.127629479,0.150190264
2020-10-31,16,4,315,73,388,0.81185567,1961,321,50386,7331,0.127016304,0.149640988
2020-11-01,21,4,336,77,413,0.813559322,1693,190,52347,7652,0.127535459,0.149188565
2020-11-02,24,3,360,80,440,0.818181818,1499,228,54040,7842,0.126725057,0.148751047
2020-11-03,23,3,383,83,466,0.821888412,2791,425,55539,8070,0.126868839,0.149671079
2020-11-04,21,2,404,85,489,0.826175869,1665,297,58330,8495,0.127123083,0.148977609
2020-11-05,16,2,420,87,507,0.828402367,2046,308,59995,8792,0.127814849,0.146520764
2020-11-06,14,1,434,88,522,0.831417625,2177,402,62041,9100,0.127914986,0.144376547
2020-11-07,19,1,453,89,542,0.835793358,1584,244,64218,9502,0.128893109,0.144706774
